iteration,time_sampling,stoc_pol_mean,stoc_pol_std,stoc_pol_max,stoc_pol_min,rollout_success,alpha,delta,time_vpg,time_npg,kl_dist,surr_improvement,running_score,success_rate,num_samples,time_VF,VF_error_before,VF_error_after,eval_score,eval_success
35,18.311009407043457,37.94644042821226,95.55073434177574,846.2060133976356,-12.310103579966226,1.0,219.9378647129202,0.05,0.19551348686218262,0.6542582511901855,0.024965873,0.02479569,17.246317411453617,1.0,40000,25.94075059890747,0.8690714885258424,0.6993232165160527,89.69079814693423,4.0
36,17.412232875823975,24.803966841747396,50.155789863169396,379.05288671677647,-14.822343909661504,0.0,197.91798613499674,0.05,0.028168678283691406,0.5861790180206299,0.025090529,0.025899826,18.002082354482997,0.0,40000,4.576232194900513,0.8262532438285171,0.6192950047165401,87.96850401930973,4.0
37,18.217294454574585,27.731195801925555,77.00670241726044,577.6637864531066,-13.302045025198005,1.0,197.39244528997992,0.05,0.2241497039794922,7.320599317550659,0.02483374,0.02857716,18.974993699227255,1.0,40000,14.386144161224365,0.7444862880666282,0.5790266441313463,67.00169619900868,0.0
38,20.099122762680054,40.476361656246084,100.60526441154158,807.0227248900754,-10.025819290175336,2.5,182.91782968873719,0.05,0.02701878547668457,0.5720577239990234,0.024928933,0.03180886,21.12513049492914,2.5,40000,4.554815292358398,0.7592455539414157,0.5999303891544221,43.527736727353926,0.0
39,19.89368510246277,30.02062791409152,74.10096361826429,689.3880129336985,-14.511910761471029,0.5,186.81051368988292,0.05,1.1284372806549072,13.513473987579346,0.02498607,0.027155472,22.01468023684538,0.5,40000,68.48819923400879,0.770488655707143,0.5861843017438236,49.47395685342117,0.0
40,18.241544008255005,44.95876663226629,91.79138814838845,645.2591855547612,-11.907053216691066,2.0,186.34085878078602,0.05,0.8289492130279541,19.55372405052185,0.02516264,0.03278632,24.30908887638747,2.0,40000,54.90800499916077,0.7980245649747868,0.6188826771898164,51.76758924151165,0.0
41,17.34131622314453,51.01006511315818,90.47385728690828,613.6871850567223,-10.223151702965938,1.0,195.6992919840942,0.05,0.03779125213623047,0.5005643367767334,0.025078122,0.026431702,26.979186500064543,1.0,40000,4.532904863357544,0.6825711691791859,0.5662177930612157,50.457552521183295,4.0
42,19.375898599624634,51.3376536545042,96.17239949081204,612.103549286551,-9.3049628814638,2.0,187.20282849894,0.05,1.365755319595337,23.291011333465576,0.025114017,0.02883307,29.415033215508508,2.0,40000,35.82701253890991,0.6755769723623557,0.5714069334118481,75.1069952959988,0.0
43,19.810757637023926,51.42792008195991,100.91657065459242,785.3374097430973,-12.659078068017745,2.0,208.6757249970455,0.05,0.5972340106964111,22.872788667678833,0.025149953,0.025428899,31.61632190215365,2.0,40000,63.15026521682739,0.6503251922306957,0.5375223704301533,97.19219339148393,0.0
44,19.258975982666016,53.122080687004164,93.05653293031105,606.4430072167202,-8.704405088156165,2.0,209.86602194488063,0.05,0.7913970947265625,3.6730830669403076,0.025108501,0.024587566,33.7668977806387,2.0,40000,5.730831861495972,0.59705649068181,0.46553399120165834,101.33680523155319,4.0
45,18.01706075668335,61.48595273576618,129.46372003144876,1099.7917676519983,-15.280991266639255,2.0,201.10243667676085,0.05,0.026601552963256836,0.6281542778015137,0.02481678,0.025947543,36.53880327615145,2.0,40000,4.599533557891846,0.7462350816249447,0.5726693822937359,158.07892093529028,8.0
46,17.53709316253662,74.25837284349403,122.22448432053959,771.7374309068717,-10.422816301868163,5.0,208.98473743015546,0.05,0.027887344360351562,0.5941452980041504,0.02506812,0.025933884,40.31076023288571,5.0,40000,8.100777864456177,0.6248564646300835,0.5104138608089754,89.53045483179875,4.0
47,16.74240756034851,98.4547523128481,196.97345415784625,1865.5911673081691,-11.284627876335081,4.5,209.36577745926846,0.05,0.030927181243896484,0.582024097442627,0.02501917,0.02526438,46.12515944088195,4.5,40000,5.710235595703125,0.6992819804282984,0.5107326973489034,112.28344610635673,4.0
48,21.09763813018799,85.75148458345225,160.26908280051364,1006.4756899201914,-9.969129132944296,4.0,200.18210440533537,0.05,0.21774649620056152,1.242549180984497,0.025188364,0.025909944,50.08779195513898,4.0,40000,4.767003774642944,0.6577160805864921,0.4913882462267716,162.39178201173985,8.0
49,18.28475594520569,107.14326700970788,191.72150638751802,1597.4716225302568,-10.73229823222864,8.0,199.48218965560946,0.05,1.269047498703003,9.463741540908813,0.025160296,0.026514499,55.793339460595874,8.0,40000,44.616310834884644,0.6121700895307299,0.4963944698766131,248.74525381788422,16.0
50,17.692084789276123,97.35776563412986,176.7936228769866,1275.110146821554,-13.608537110508932,6.0,200.2567553331897,0.05,0.02838873863220215,0.6089024543762207,0.024781914,0.026135074,59.94978207794928,6.0,40000,55.51307463645935,0.6140507793611694,0.4391296078763959,124.01058393282067,4.0
51,16.331960439682007,101.48367129148328,160.73770135983463,976.5957363947083,-11.420475135587264,7.0,190.42055662207932,0.05,0.028992891311645508,0.5821487903594971,0.025193518,0.02702823,64.10317099930268,7.0,40000,38.05569505691528,0.6894455815820054,0.45823923850173426,126.96862887360439,4.0
52,15.18146800994873,84.52357916914653,145.92281051573818,1107.5648888482697,-14.2134036622757,3.0,207.6624274202127,0.05,0.036334991455078125,0.5866315364837646,0.024886416,0.024489662,66.14521181628706,3.0,40000,8.135705709457397,0.6239604421880885,0.4774327505295453,142.39719558398772,8.0
53,16.714583158493042,143.1118058623225,251.1404801362259,1690.9661847650866,-18.50033693750119,10.5,210.31221943668774,0.05,0.07983517646789551,2.653533697128296,0.024979446,0.02482718,73.84187122089061,10.5,40000,72.46856474876404,0.6529918985339308,0.4593720322562666,134.6682432240651,12.0
54,17.119039297103882,158.0828162025744,262.0497667460131,1711.8766902822588,-10.707825146311361,12.0,207.03564205160475,0.05,0.026577472686767578,0.5270678997039795,0.02544022,0.024547912,82.265965719059,12.0,40000,4.755656003952026,0.609888338159767,0.49146316715654736,116.57292662632062,4.0
