iteration,time_sampling,stoc_pol_mean,stoc_pol_std,stoc_pol_max,stoc_pol_min,rollout_success,discriminator_loss,alpha,delta,time_vpg,time_npg,kl_dist,surr_improvement,running_score,success_rate,num_samples,time_VF,VF_error_before,VF_error_after,eval_score,eval_success
33,16.189141750335693,40.882831794354544,114.57482546691641,752.9591910042012,-9.647261102147194,2.5,0.6849997,1.4471973104149134,0.05,0.9744889736175537,1.1811163425445557,0.025478031,0.036572173,24.087138707568208,2.5,40000,85.79624772071838,0.6925559778711404,0.548723840713533,164.42832751118246,12.0
34,17.953747987747192,41.18052783788007,108.2663544443035,926.0962782303153,-15.106096458918257,1.5,0.68453956,1.3599815225456822,0.05,0.15762877464294434,11.980024576187134,0.025363732,0.040565558,25.796477620599397,1.5,40000,37.058449506759644,0.7472302894261841,0.6053814523936004,205.17279912673283,20.0
35,16.033345937728882,43.435689104957056,110.73025346737163,1095.50086206295,-9.232042243323795,2.5,0.68498254,1.3390862802164203,0.05,0.35411572456359863,8.512951374053955,0.025026957,0.039021235,27.560398769035164,2.5,40000,105.6793839931488,0.7077839132743803,0.5613568202314922,248.9762329533952,16.0
36,18.016560554504395,60.853820731748804,209.93746601118804,1694.035007998166,-6.7400231017927,3.5,0.68444216,1.5375920141905597,0.05,0.02071380615234375,0.6645731925964355,0.025465216,0.03257076,30.88974096530653,3.5,40000,4.792019605636597,0.721094658964326,0.5570826039999549,194.68300776656727,12.0
37,16.89863109588623,59.577335579565585,121.29183664210247,590.8934373339091,-10.350448289184271,4.5,0.6840708,1.4934485663964623,0.05,0.02036309242248535,0.7102127075195312,0.024874706,0.033307515,33.75850042673244,4.5,40000,18.628591775894165,0.8599425826941296,0.5524960970238312,235.29458444799823,12.0
38,18.26261806488037,76.78712106238589,207.2845065422783,1290.7508098658832,-11.333601235994598,4.5,0.6840722,1.492215107093786,0.05,0.022334814071655273,0.7405862808227539,0.024986237,0.03764471,38.06136249029779,4.5,40000,4.7799882888793945,0.7252983457732691,0.5904809545959367,238.78315133436436,16.0
39,16.956942081451416,61.42474183440188,163.8765233424612,1271.695539014208,-9.204359845195876,4.5,0.6843202,1.4744962242567963,0.05,0.04828977584838867,7.519249200820923,0.024956064,0.03395188,40.3977004247082,4.5,40000,88.72670531272888,0.8621889245174224,0.5462358679780143,260.5081843859006,20.0
40,17.94957447052002,95.46804455306345,237.6880157835393,1801.0360586273769,-12.378202570276402,6.0,0.68351066,1.5390935834208335,0.05,0.020953655242919922,0.6943666934967041,0.025164548,0.03402552,45.90473483754372,6.0,40000,4.816122531890869,0.6475714672075934,0.5503598959852204,215.54735637127627,16.0
41,17.805418014526367,64.09084539967402,143.9272984933781,1017.6699747893979,-6.341890940619518,4.5,0.68414944,1.507356502330927,0.05,0.7956867218017578,23.04360604286194,0.025231665,0.032850903,47.72334589375675,4.5,40000,67.17601537704468,0.7156564714558175,0.5380602397558238,246.3656886337237,16.0
42,18.7756507396698,93.07535016183155,190.89678541483136,1490.211159273091,-12.930524503211615,7.0,0.6844878,1.4057116884444794,0.05,0.23259973526000977,23.196144819259644,0.024757497,0.037581574,52.258546320564236,7.0,40000,81.56249809265137,0.6021828202605854,0.462855067650361,401.70522929557313,24.0
